Designator,Mid X,Mid Y,Rotation,Layer
C1,142.075,-92.3,270.0,top
C10,136.2,-69.55,0.0,top
C11,136.2,-71.05,0.0,top
C12,136.395,-68.3,0.0,top
C13,136.2,-72.55,0.0,top
C14,138.25,-74.88,90.0,top
C15,147.25,-67.425,180.0,top
C16,151.0,-70.47,270.0,top
C17,139.6,-70.1,90.0,top
C18,141.1,-70.125,90.0,top
C19,113.538946,-78.005392,270.0,top
C2,146.925,-85.85,0.0,top
C20,128.05,-67.57,90.0,top
C21,112.675,-93.25,0.0,top
C22,115.03,-92.55,270.0,top
C23,121.364998,-74.232106,0.0,top
C24,119.939998,-91.182106,180.0,top
C25,123.209998,-74.232106,180.0,top
C26,130.284998,-83.407106,0.0,top
C27,113.05,-85.67,90.0,top
C28,130.264998,-81.832106,0.0,top
C29,121.934998,-73.007106,0.0,top
C3,148.55,-88.795,90.0,top
C30,119.409998,-92.407106,180.0,top
C31,122.774874,-91.925126,0.0,top
C32,118.509998,-90.702106,270.0,top
C33,112.35,-64.5,90.0,top
C34,117.6,-64.37,270.0,top
C35,138.475,-64.57,90.0,top
C36,141.05,-64.525,90.0,top
C37,113.22,-53.42,0.0,top
C4,147.3,-87.495,270.0,top
C5,142.15,-89.245,90.0,top
C6,143.875,-85.85,180.0,top
C7,135.9,-81.475,0.0,top
C8,135.9,-79.45,0.0,top
C9,135.9,-82.775,0.0,top
CARD1,129.3,-56.4625,180.0,top
D1,144.525,-93.55,270.0,top
J1,147.5,-79.895,90.0,top
J2,146.96,-48.86,270.0,top
J3,146.96,-52.75,270.0,top
L1,139.975,-89.1875,270.0,top
L3,144.125,-70.05,180.0,top
L4,114.738946,-78.110392,90.0,top
L5,131.8,-75.655,90.0,top
R1,129.28,-90.325,180.0,top
R10,135.795,-84.4,0.0,top
R11,139.505,-86.575,180.0,top
R12,138.25,-77.07,270.0,top
R13,138.605,-75.975,0.0,top
R14,149.015,-72.225,0.0,top
R15,148.975,-73.15,180.0,top
R16,133.64,-64.1125,90.0,top
R17,134.715,-64.1125,90.0,top
R18,127.065,-63.9875,90.0,top
R19,128.14,-63.9625,90.0,top
R2,132.905,-90.35,0.0,top
R20,129.265,-63.9625,90.0,top
R21,131.415,-64.0275,90.0,top
R22,116.7,-53.625,0.0,top
R3,148.555,-90.95,0.0,top
R4,150.0,-91.255,270.0,top
R5,148.185,-92.085,270.0,top
R6,148.935,-92.08,270.0,top
R7,144.525,-95.205,90.0,top
R8,148.54,-90.225,180.0,top
R9,137.804999,-85.3,0.0,top
SW1,113.2,-50.195,270.0,top
SW2,116.825,-50.27,270.0,top
U1,145.24,-90.025,0.0,top
U2,136.02,-75.79,90.0,top
U3,148.45,-70.0,180.0,top
U4,126.365,-67.575,90.0,top
U5,112.74,-91.2,0.0,top
U6,122.063946,-82.610392,225.0,top
USB,130.85,-93.8925,0.0,top
X1,115.0,-64.475,0.0,top
X2,139.775,-66.625,0.0,top
